,Store,Algorithm,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R-squared
0,1,Linear Regression,29271.61936361866,1494186688.7343,38654.711080724686,0.958274464907983
1,2,Linear Regression,77239.19127303937,20309954156.53743,142512.99644782377,0.85583727921213
2,3,Linear Regression,12289.808123276884,317021074.52328277,17805.085636505173,0.9097671188935657
3,4,Linear Regression,68571.98308045966,15010675845.978378,122518.06334568947,0.9068640158364478
4,5,Linear Regression,8225.257951280431,148260606.86561286,12176.231225860194,0.9361036133490936
5,6,Linear Regression,67321.41861114377,11387044940.003454,106710.09764780207,0.8852751745902696
6,7,Linear Regression,34133.8713026463,1839632632.8486223,42890.9388198559,0.923563925908825
7,8,Linear Regression,26967.97568775028,2159040123.863173,46465.47238394519,0.9146580802101382
8,9,Linear Regression,16344.69650232695,659944342.9320765,25689.38191027718,0.9280894145594213
9,10,Linear Regression,101695.51580131134,34311936857.816677,185234.81545815483,0.8503891599074533
10,11,Linear Regression,38996.800445465145,4200801909.657162,64813.59355611415,0.9282928888292425
11,12,Linear Regression,42251.624236291114,4091246798.4864078,63962.8548337737,0.9002459573003362
12,13,Linear Regression,68726.72802612245,17341650225.657093,131687.69959892644,0.89899852746081
13,14,Linear Regression,93578.90490016711,23840483765.37948,154403.6390937062,0.87740839725778
14,15,Linear Regression,41109.49365989759,4293219850.5760217,65522.66669310722,0.8734227577847632
15,16,Linear Regression,30528.583467208067,1701478136.449976,41248.97739883955,0.890748866877363
16,17,Linear Regression,23883.851356030264,1077549074.9440534,32826.04263300792,0.9317846582556131
17,18,Linear Regression,61489.29802882731,8730937482.247156,93439.48566985564,0.8568702607632478
18,19,Linear Regression,60134.25066660709,10670218802.442791,103296.751170803,0.8727320349876009
19,20,Linear Regression,73263.26709041472,14612992106.684704,120884.20950101259,0.9104831566540668
20,21,Linear Regression,49186.92711493315,7570292910.08195,87007.4302004257,0.823329589635381
21,22,Linear Regression,49517.19097958213,7084724274.735814,84170.8041706613,0.8774309079102768
22,23,Linear Regression,78745.16029407443,16501109530.465014,128456.64455552703,0.8746571970133721
23,24,Linear Regression,51438.126721784975,7385642087.318799,85939.75847835971,0.8698107693465627
24,25,Linear Regression,39683.13687178896,3957395245.3726554,62907.83135168987,0.8589131064064691
25,26,Linear Regression,31446.523903936653,2579850976.862732,50792.23343054263,0.8774387749422065
26,27,Linear Regression,87394.85005053857,15501634344.48841,124505.559492291,0.8528901976610206
27,28,Linear Regression,44491.13939730494,3871102688.144366,62218.186152799135,0.9153346379367657
28,29,Linear Regression,30590.24574392007,2476735481.203324,49766.81104112784,0.895082963168194
29,30,Linear Regression,8293.372009384513,105704639.20322627,10281.276146628212,0.8869414293114929
30,31,Linear Regression,40264.76114217759,4957814061.380583,70411.7466150399,0.853727866821895
31,32,Linear Regression,40882.68290230489,4953951797.716797,70384.3149978516,0.8912789114274433
32,33,Linear Regression,7446.501619825689,87529633.8193548,9355.72732711652,0.8589737064693634
33,34,Linear Regression,33853.56097830501,3864711421.7960873,62166.80321358086,0.8626555054131363
34,35,Linear Regression,72765.62375484826,10163692856.080864,100815.14199801964,0.8534703358493791
35,36,Linear Regression,10436.899732012364,198071994.73048002,14073.80526831603,0.946952121778739
36,37,Linear Regression,4044.5280958287185,30529385.53840367,5525.340309736919,0.9584829864712544
37,38,Linear Regression,8468.249981112149,120037544.68914591,10956.164688847366,0.9170186250279088
38,39,Linear Regression,50610.63339064576,6774669382.320292,82308.37978189276,0.9267371465981681
39,40,Linear Regression,27645.097609416298,2151834284.184458,46387.86785555527,0.9254879916945017
40,41,Linear Regression,45879.21540175563,5798288497.0182705,76146.4936620083,0.9200806191351192
41,42,Linear Regression,10686.881427340062,176171946.18512625,13272.978045078136,0.9211414120733993
42,43,Linear Regression,14013.70021829638,317044451.9769968,17805.74210688779,0.851237303360154
43,44,Linear Regression,5242.331796090686,47023438.12684671,6857.363788428226,0.9384285629115859
44,45,Linear Regression,40978.85347623398,5684247065.345346,75393.94581360857,0.8699491355879947
0,1,Random Forest Regressor,70090.92957878792,9853610354.079645,99265.35324109638,0.7248354789183082
1,2,Random Forest Regressor,126164.19884444408,61154689477.00638,247294.74211354833,0.565915986023791
2,3,Random Forest Regressor,22678.480347222274,1313500418.6724048,36242.246324867956,0.626141803696983
3,4,Random Forest Regressor,120977.85800555545,72164855891.23337,268635.172476043,0.5522423544139323
4,5,Random Forest Regressor,17032.225402777756,716936259.997189,26775.6654445261,0.6910194997761062
5,6,Random Forest Regressor,128511.27912222211,44303731029.82347,210484.51494070407,0.5536385573099694
6,7,Random Forest Regressor,59708.55791666664,9280446089.609043,96335.07196036677,0.6144008035962669
7,8,Random Forest Regressor,52026.97210277798,11411910343.483545,106826.54325346087,0.5489132756643533
8,9,Random Forest Regressor,31634.369775000003,3467743565.792365,58887.550176521734,0.6221386354097521
9,10,Random Forest Regressor,132114.37308333314,84875461010.17651,291333.9338459846,0.6299162860553624
10,11,Random Forest Regressor,78041.25767222217,23060623795.246967,151857.24808268773,0.6063583216453678
11,12,Random Forest Regressor,68246.55550277774,14931837174.941555,122195.89671892242,0.635927335480078
12,13,Random Forest Regressor,114537.9448249998,64708577849.322784,254378.807783437,0.6231234303740683
13,14,Random Forest Regressor,155338.3220305555,92200442617.13312,303645.2578538534,0.525890491769703
14,15,Random Forest Regressor,55723.40198611111,11632836977.79377,107855.63025541953,0.6570284133967641
15,16,Random Forest Regressor,50739.20367777784,9277634279.003847,96320.47694547534,0.40428734524124754
16,17,Random Forest Regressor,48474.796813888854,4413223951.675849,66432.10031058667,0.7206163625784632
17,18,Random Forest Regressor,93346.68846944437,24426080550.261753,156288.45302920416,0.5995735226779967
18,19,Random Forest Regressor,105918.24205277777,42895707486.80672,207112.78928836508,0.48836574950429246
19,20,Random Forest Regressor,127398.99990833318,63470796991.043755,251934.11240053174,0.6111880886673644
20,21,Random Forest Regressor,71392.88794444439,18075658936.451042,134445.74718618303,0.5781624146060779
21,22,Random Forest Regressor,73625.85985555557,19171948842.223896,138462.80671076942,0.6683161867623099
22,23,Random Forest Regressor,136998.08356388903,59751261615.83283,244440.71186247357,0.5461280588987922
23,24,Random Forest Regressor,84969.59210277762,31573573075.474297,177689.5412664299,0.4434418647589341
24,25,Random Forest Regressor,60802.97648611103,10642416001.9266,103162.08606812195,0.620582398031229
25,26,Random Forest Regressor,56491.25988055551,10960891626.124632,104694.27695019738,0.4792798818724079
26,27,Random Forest Regressor,136468.12227777767,59054458654.52159,243011.2315398644,0.43957588297836914
27,28,Random Forest Regressor,104057.04385277774,20071166738.999252,141672.745222923,0.5610210485520597
28,29,Random Forest Regressor,49099.63545555558,9389432801.519234,96899.08565884011,0.602254066070817
29,30,Random Forest Regressor,16435.938608333334,515189615.90490746,22697.788788886628,0.44896835137211266
30,31,Random Forest Regressor,57492.65399722205,13420202931.59954,115845.59953489619,0.604059029607598
31,32,Random Forest Regressor,62513.26517777793,14887732293.553133,122015.29532625462,0.6732688311424637
32,33,Random Forest Regressor,16075.746411111097,393807474.0538105,19844.58299017166,0.36550393270135373
33,34,Random Forest Regressor,47871.46081666672,12901556752.267765,113585.01992898431,0.5415032073208574
34,35,Random Forest Regressor,102917.10666666662,44714195242.88741,211457.3130513282,0.3553567483313317
35,36,Random Forest Regressor,16406.136511111137,432275082.4874487,20791.22609389472,0.8842275710653457
36,37,Random Forest Regressor,13798.990030555542,458870494.0957279,21421.262663431582,0.3759804799428451
37,38,Random Forest Regressor,16746.971461111145,510588026.9179287,22596.194965478782,0.6470329626646556
38,39,Random Forest Regressor,113524.22141944437,41991469338.75168,204918.2015799272,0.5458944652973119
39,40,Random Forest Regressor,65384.17456388898,18142208291.791176,134693.0150074278,0.3717860223468096
40,41,Random Forest Regressor,100249.00006111122,40243007748.91102,200606.5994650002,0.4453197240724609
41,42,Random Forest Regressor,25027.244575,939960127.7278928,30658.769181555424,0.5792523725540419
42,43,Random Forest Regressor,24828.94721944442,989612542.2088991,31458.107734078654,0.5356568156622699
43,44,Random Forest Regressor,13349.875808333301,487544732.4301251,22080.41513264923,0.3616198428614963
44,45,Random Forest Regressor,67903.89458333318,20965540579.683865,144794.82235109052,0.5203257979626177
